ETG4842 ETG29382
ETG117045 ETG1981
ETG117045 ETG1981
ETG81812 ETG5295
ETG24855 ETG7248
ETG56718 ETG10243
ETG60445 ETG24715
ETG60445 ETG24855
ETG83613 ETG24855
ETG2475 ETG25125
ETG25467 ETG25513
RP11-314N13.2 ETG56718
ETG24855 ETG60445
ETG83613 ETG60445
ETG25513 ETG81812
ETG287711 ETG83840
ETG56718 ETG116636
ETG117045 ETG116636
ETG117045 ETG116636
ETG117045 ETG116636
ETG117045 ETG116636
ETG3643 ETG58844
ETG25567 ETG25393
ETG24338 RP11-272L14.1
ETG81678 RP11-10M8.1
ETG54300 ETG29468
ETG246232 ETG24185
ETG246232 ETG24185
ETG291981 ETG291981
ETG291981 ETG84509
ETG60668 ETG140694
ETG313845 ETG29704
ETG24831 ETG5469
ETG24831 ETG9326
ETG24831 ETG9325
ETG24831 ETG3832
ETG24831 tcag7.1300
ETG24831 PNAS-24
ETG24831 RP11-10C13.2
ETG24831 ETG4793
ETG24831 ETG9322
ETG24831 ETG9321
ETG24831 ETG9318
ETG84476 ETG54287
ETG65248 tcag7.78
ETG24208 OK/SW-cl.35
ETG3064 ETG54299
ETG8673 ETG60466
ETG8673 ETG65277
ETG8673 ETG59074
ETG116549 YDR496C
ETG360820 ETG170922
ETG114901 ETG65040
ETG24598 ETG29161
ETG29161 ETG24598
ETG56011 ETG29219
ETG29219 ETG56011
ETG29219 ETG29340
ETG29219 ETG24680
ETG29219 ETG24681
ETG64639 ETG29219
ETG29219 ETG24703
ETG29219 ETG170851
ETG25069 ETG7186
ETG25069 RP11-318L16.2
ETG29219 ETG25085
ETG25085 ETG29219
ETG116543 ETG94188
ETG78976 ETG289023
ETG64391 ETG64513
ETG64391 ETG29885
ETG64391 ETG79255
ETG64391 ETG24851
ETG64391 ETG114512
ETG64391 ETG114512
ETG64391 ETG79255
ETG64391 ETG24851
ETG64391 ETG114512
ETG64391 ETG29885
ETG64391 ETG64513
ETG64391 ETG64513
ETG64513 ETG64391
ETG29546 ETG78957
ETG29546 ETG59312
ETG29546 ETG78957
ETG29546 ETG59312
ETG29546 ETG78957
ETG78957 ETG29546
ETG59312 ETG286923
ETG59312 ETG286923
ETG286923 ETG59312
ETG59312 ETG24418
ETG25454 ETG18188
ETG25454 ETG25453
ETG25454 ETG25453
ETG25468 ETG60465
ETG304807 ETG299156
ETG64667 ETG64667
BOS_18467 ETG80278
BOS_18467 ETG252827
BOS_18467 ETG286919
ETG13644 ETG50646
ETG50646 ETG13644
ETG50646 ETG10278
ETG25738 ETG65178
ETG65178 ETG25738
ETG25738 ETG65178
ETG83529 ETG10018
ETG10018 ETG83529
ETG6256 ETG25591
ETG29737 ETG25468
ETG117277 ETG353227
ETG117277 ETG353227
ETG117277 ETG353227
ETG29722 ETG351
ETG64462 ETG10142
ETG58822 ETG10142
ETG64462 ETG10142
ETG24768 ETG297930
ETG24768 ETG292925
ETG24768 LA16c-358B7.1
ETG64015 ETG10657
ETG64015 ETG91746
ETG64015 ETG8683
ETG64015 P/OKcl.14
ETG64015 RP11-1114A5.1
ETG64015 ETG6294
ETG64196 ETG64015
ETG64015 ETG117268
ETG64015 ETG302855
ETG64015 ETG64196
ETG64015 ETG170956
ETG64015 ETG64196
ETG64015 ETG170956
ETG170840 ETG25522
ETG170840 ETG29738
ETG29738 ETG170840
ETG29738 ETG25522
ETG25522 ETG170840
ETG25522 ETG29738
ETG170840 ETG29738
ETG170840 ETG29738
ETG170840 ETG29737
ETG170840 ETG170840
ETG25522 ETG81730
ETG57305 UNQ525/PRO1068
ETG1394 ETG29151
ETG64680 ETG29151
ETG12922 ETG29151
ETG64680 ETG90226
ETG64680 ETG114131
ETG64680 ETG171530
ETG64680 ETG83428
ETG57120 ETG60562
ETG57120 ETG60562
ETG491 ETG29495
ETG491 ETG25252
ETG491 ETG64053
ETG493 ETG29495
ETG493 ETG25252
ETG493 ETG64053
ETG10691 ETG25573
RP4-663D7.1 ETG25573
ETG25573 ETG24413
ETG22196 ETG24413
ETG25350 ETG4239
ETG171123 ETG25531
ETG5898 ETG116654
ETG26989 ETG26989
ETG64513 ETG7490
ETG2060 ETG85238
ETG85238 ETG313474
ETG2885 ETG85238
ETG85238 ETG2060
ETG5898 ETG252881
ETG5898 ETG84014
ETG65180 ETG80333
RP5-890O3.5 ETG79257
ETG79257 ETG79257
ETG79257 ETG1857
ETG79257 ETG2932
ETG79257 OK/SW-cl.35
ETG79257 ETG79257
ETG79257 ETG79257
RP5-890O3.5 ETG79257
ETG79257 RP5-890O3.5
ETG79257 RP5-890O3.5
ETG79257 ETG324
ETG79257 OK/SW-cl.35
ETG79257 ETG2932
ETG2932 ETG79257
RP5-890O3.5 ETG79257
ETG24468 ETG3337
ETG24468 BOS_12661
BOS_12661 ETG24468
ETG3337 ETG24468
ETG24211 ETG29271
ETG29271 ETG24211
ETG29271 ETG24211
ETG54305 RP11-291O7.3
ETG54305 ETG6640
ETG54305 ETG22941
ETG22941 ETG54305
ETG54305 ETG171093
ETG362566 ETG64525
ETG362566 ETG81807
ETG81807 ETG64525
ETG8065 ETG25562
ETG63887 ETG10316
ETG63887 ETG56923
ETG11772 ETG29211
ETG11772 ETG171435
ETG290215 ETG84479
ETG116470 ETG25558
ETG24923 ETG25558
ETG81802 ETG25558
ETG6809 ETG252853
ETG25517 ETG5308
ETG25517 ETG5308
ETG4885 ETG81005
ETG4885 ETG266777
ETG81005 ETG81005
ETG81005 ETG266777
ETG29151 ETG1394
ETG29151 ETG58959
ETG29151 ETG64680
ETG7349 ETG58959
ETG7349 ETG64680
ETG1392 ETG58959
ETG1392 ETG64680
ETG6722 ETG25159
ETG6722 ETG54254
ETG6722 ETG29300
ETG6722 ETG29300
ETG29300 ETG6722
ETG6722 ETG54254
ETG117036 ETG114505
ETG114505 ETG117036
ETG64896 ETG24253
ETG24253 ETG81673
ETG24253 ETG64896
ETG29495 ETG9495
ETG25252 ETG9495
ETG29495 ETG9495
ETG9495 ETG29495
ETG9495 ETG24410
ETG9495 ETG25252
ETG9495 ETG50592
ETG25252 ETG9495
ETG6654 ETG50646
ETG25054 ETG83823
ETG7041 ETG83709
ETG83709 ETG7041
ETG83709 hCG_1778014
ETG83709 ETG7041
ETG83709 hCG_1778014
ETG117284 ETG815
ETG117284 RP11-574K11.6
ETG117284 ETG81
ETG81 ETG117284
ETG815 ETG117284
ETG117284 ETG815
ETG117284 ETG81
ETG117284 ETG815
ETG117284 ETG81
ETG117284 ETG25400
ETG29603 ETG29711
ETG25097 ETG282838
ETG8894 ETG56783
ETG56783 ETG8894
ETG116590 ETG3091
rCG_23159 ETG116690
rCG_23159 ETG116690
ETG60391 ETG29647
ETG116508 ETG29647
ETG116595 ETG29647
ETG60391 ETG29647
ETG29647 ETG83589
ETG83589 ETG29647
ETG25252 ETG114202
ETG25252 ETG29647
ETG25252 ETG64053
ETG60391 ETG29647
ETG60391 ETG83589
ETG60391 ETG83610
ETG60391 ETG83589
ETG60391 ETG83610
ETG26295 ETG171086
ETG171086 ETG26295
ETG26295 ETG171086
ETG89821 ETG84494
ETG89821 ETG140933
ETG140933 ETG89821
RP1-130E4.1 ETG117274
ETG117274 RP1-130E4.1
ETG117274 ETG25149
ETG29491 ETG682507
ETG1213 ETG117277
ETG51475 ETG171140
ETG117955 ETG24255
ETG50944 ETG65096
ETG65040 ETG22941
ETG65040 ETG78957
ETG65040 ETG59312
ETG25469 ETG1742
ETG78957 ETG1742
ETG65040 ETG1742
ETG65040 ETG78957
ETG78957 ETG65040
ETG8683 ETG64196
ETG64196 ETG8683
ETG64196 ETG6434
ETG64196 OK/SW-cl.3
ETG64196 ETG7307
ETG64196 ETG6431
ETG64196 ETG12748
ETG12748 ETG64196
OK/SW-cl.3 ETG64196
ETG6434 ETG64196
ETG8683 ETG64196
ETG3708 ETG29546
ETG3708 ETG29547
ETG29542 RP23-447J12.1
ETG9020 ETG29542
ETG9020 ETG29542
ETG3551 ETG29542
ETG1147 ETG29542
ETG29542 ETG3551
ETG29542 ETG1147
ETG29542 RP1-154G14.1
ETG24413 YNL064C
ETG24413 YJR045C
ETG24413 YMR186W
ETG24413 YPL240C
ETG84027 ETG399489
ETG399489 ETG84027
ETG292732 ETG680423
ETG83840 RP11-554C12.1
ETG363445 ETG299694
ETG59109 ETG113894
ETG7316 ETG113894
RP11-297M9.2 ETG116681
ETG2904 ETG116681
ETG2906 ETG116681
ETG59109 ETG312937
ETG83571 ETG294790
ETG294790 ETG83571
ETG24708 ETG399489
ETG24586 rCG_34296
ETG3091 ETG24874
ETG5903 ETG25573
ETG5903 ETG83499
ETG5903 ETG289990
ETG5903 ETG83806
ETG25388 ETG154
ETG154 ETG25388
ETG25388 ETG1213
ETG25388 ETG1173
ETG25388 ETG5894
ETG306332 ETG499558
ETG499558 ETG306332
ETG85327 ETG499558
ETG499558 ETG60442
ETG85327 ETG499558
ETG140908 ETG56816
ETG23149 ETG313474
RP11-266I14.1 ETG313474
YOR370C ETG25531
ETG79121 ETG83519
ETG79121 ETG25270
ETG29386 RP5-875J14.1
ETG367218 ETG363287
ETG24898 ETG25489
ETG24898 ETG313474
ETG24898 ETG117277
KB-152G3.1 ETG313474
ETG117060 HSPC218
ETG60563 ETG84578
ETG60563 ETG84577
ETG60563 ETG297893
ETG24855 RP1-148E22.1
ETG57617 ETG83722
RP11-12M19.2 ETG83722
ETG65082 ETG83722
ETG57617 ETG83722
ETG83722 ETG57617
ETG83722 RP11-12M19.2
ETG83722 ETG65082
ETG83722 PP3476
ETG83722 ETG57617
ETG83722 RP11-12M19.2
ETG83722 PP3476
PP3476 ETG83722
ETG57617 ETG83722
ETG25636 ETG326846
ETG5685 ETG56816
ETG502389 ETG24840
ETG301164 ETG24840
ETG170915 ETG24840
ETG502389 ETG24840
ETG309165 ETG297893
ETG1129 Ab1-115
ETG83618 ETG363287
ETG83618 ETG84580
ETG2150 ETG500985
ETG500985 ETG2150
ETG25223 ETG64646
ETG25223 rCG_45211
ETG314436 ETG501099
ETG315151 ETG501099
ETG25705 ETG501099
ETG501099 ETG25705
ETG25631 ETG25705
ETG25705 ETG25631
ETG26295 ETG170821
ETG26295 ETG170821
ETG170821 ETG26295
ETG867 ETG24596
ETG867 ETG24596
ETG25502 ETG595
ETG6477 ETG307309
ETG6622 ETG307309
rCG_45308 ETG170915
YMR190C ETG29274
YDL013W ETG29274
YER116C ETG29274
ETG24577 ETG299347
ETG24338 ETG299347
ETG24708 ETG299347
ETG25238 ETG10014
ETG25238 RP1-283E3.7
ETG54244 ETG79114
ETG113927 Dmel_CG14941
ETG140941 ETG307309
ETG302553 ETG81758
ETG81758 ETG302553
ETG297893 ETG81758
ETG54244 ETG24253
ETG54244 ETG140586
ETG170915 ETG24253
ETG24253 ETG170915
ETG444985 ETG84577
ETG84577 ETG444985
ETG444985 ETG84577
ETG84577 ETG444985
ETG303181 ETG312781
ETG111 ETG290447
ETG25591 ETG29577
ETG25591 ETG362533
ETG25591 ETG64012
ETG25591 ETG361100
ETG25591 ETG25135
ETG25591 ETG252855
ETG25591 ETG25498
ETG25591 ETG363633
ETG25591 ETG117056
ETG25591 ETG64627
ETG25591 ETG54244
ETG25591 ETG301164
ETG25591 ETG83805
ETG25591 ETG317256
ETG25591 ETG25400
ETG29577 ETG25591
ETG29577 ETG363633
ETG29577 ETG54244
ETG29577 ETG301164
ETG29577 ETG83805
ETG29577 ETG25400
ETG29577 ETG252855
ETG315716 ETG328833
ETG10014 ETG29753
ETG3480 ETG25387
ETG85385 ETG81504
ETG24873 ETG367218
ETG367218 ETG24873
ETG367218 ETG24873
ETG24873 ETG367218
ETG81673 ETG54244
ETG81673 ETG170915
ETG24680 ETG25459
ETG25023 ETG25459
ETG24681 ETG25459
ETG170538 ETG25459
ETG25086 ETG299331
ETG25086 ETG266759
ETG24296 ETG299331
ETG24296 ETG266759
ETG24300 ETG299331
ETG24300 ETG266759
ETG301517 ETG266759
ETG12914 ETG25517
ETG54244 ETG25517
ETG9611 ETG24413
ETG9612 ETG24413
ETG24790 ETG113938
ETG113938 ETG117855
ETG25642 ETG50522
ETG83721 ETG83824
ETG83824 ETG83721
ETG79257 ETG83721
ETG79257 ETG83721
ETG83721 ETG83824
ETG83824 ETG83721
ETG83721 ETG79257
ETG84353 ETG83824
ETG83721 ETG83824
ETG26564 ETG64512
ETG81650 RP23-458A23.7
ETG116590 RP11-125A15.2
ETG24577 ETG500569
ETG24577 ETG500569
ETG114505 ETG29357
ETG114505 ETG25631
ETG114505 ETG29357
ETG405788 ETG24873
ETG12393 ETG24873
ETG861 ETG24873
RP3-398I9.1 ETG24873
ETG50689 ETG24680
ETG50689 ETG116590
ETG50689 ETG54321
ETG116590 ETG24680
ETG116590 ETG50689
ETG116590 ETG54321
ETG54321 ETG24680
ETG54321 ETG50689
ETG54321 ETG116590
ETG54321 ETG116590
ETG65204 ETG116590
ETG25019 ETG7157
ETG300711 ETG7157
ETG685055 ETG7157
ETG114212 ETG7157
ETG50522 ETG25679
ETG24716 ETG50522
ETG50522 ETG24716
ETG500985 ETG24716
ETG24842 ETG299331
ETG24842 ETG266759
ETG24842 ETG114700
ETG312965 ETG116643
ETG116643 ETG312965
ETG50522 ETG116643
ETG362110 ETG54254
ETG170915 ETG54254
ETG24807 ETG50522
ETG246756 ETG50522
ETG170538 ETG50522
ETG24680 ETG50522
ETG29340 ETG50522
ETG25690 ETG50522
ETG25690 ETG282827
ETG25690 ETG299331
ETG25690 ETG25242
ETG311245 ETG292732
ETG5914 ETG29468
ETG5914 ETG29468
ETG5914 ETG29468
ETG83571 ETG100190936
ETG81646 ETG50522
ETG29682 ETG25489
ETG25489 ETG29682
ETG25489 ETG170848
ETG29682 ETG50522
ETG170848 ETG50522
ETG25262 ETG50522
ETG81678 ETG50522
ETG25679 ETG50522
ETG50557 ETG50522
ETG50557 ETG25489
ETG81678 ETG50522
ETG25262 ETG50522
ETG25679 ETG50522
ETG81678 ETG50522
ETG25262 ETG50522
ETG25679 ETG50522
ETG81678 ETG50522
ETG25262 ETG50522
ETG25679 ETG50522
ETG499655 ETG294790
ETG294790 ETG24525
ETG294790 ETG83571
ETG294790 ETG246060
ETG294790 ETG81758
ETG94201 ETG363140
ETG294790 ETG363140
ETG50522 ETG24525
ETG50522 ETG83571
ETG50522 ETG246060
ETG50522 ETG81758
ETG50522 ETG363140
ETG363188 ETG81816
ETG84482 ETG309757
ETG170509 ETG50522
ETG24329 ETG500985
ETG24329 ETG50522
ETG500985 ETG306141
ETG500985 ETG50522
PIG53 ETG294917
PIG53 ETG114560
ETG360533 ETG24516
ETG500985 ETG25467
ETG84020 ETG50522
ETG29722 ETG23327
ETG291553 ETG322
ETG291553 ETG322
ETG23327 ETG29722
ETG322 ETG291553
ETG23327 ETG29722
ETG29219 ETG140941
KB-152G3.1 ETG60331
ETG83506 YDR477W
ETG24666 YDR477W
ETG140941 ETG29219
ETG140593 ETG29219
ETG140593 ETG29219
RP3-470L14.2 ETG64205
RP3-470L14.2 ETG171350
RP3-470L14.2 ETG24668
ETG66026 ETG25387
ETG25387 ETG66026
ETG66026 ETG24180
ETG24180 ETG66026
ETG287155 ETG24588
ETG287155 ETG24588
ETG360573 ETG170851
ETG360573 ETG58960
ETG360573 ETG56011
ETG360573 ETG299331
ETG360573 ETG114562
ETG94201 ETG156726
ETG156726 ETG94201
ETG246254 ETG363445
ETG307594 ETG59117
ETG307594 ETG360971
ETG307594 ETG308003
ETG307594 ETG84391
ETG307594 ETG300158
ETG307594 ETG314764
ETG307594 ETG24917
ETG307594 ETG288064
ETG307594 ETG116549
ETG307594 ETG304488
ETG307594 ETG140908
ETG307594 ETG117016
ETG307594 ETG316794
ETG307594 ETG363445
ETG307594 ETG155151
ETG307594 ETG307548
ETG307594 ETG362715
ETG307594 ETG299940
ETG307594 ETG24771
ETG307594 ETG311163
ETG307594 ETG361522
ETG307594 rCG_26455
ETG307594 ETG116671
ETG307594 ETG140908
ETG116671 ETG307594
ETG116671 ETG140908
ETG307594 ETG116671
ETG307594 ETG140908
ETG24239 ETG116643
ETG24239 ETG362912
ETG364398 ETG24239
ETG5501 ETG192234
ETG5499 ETG192234
ETG293939 ETG290823
ETG25636 ETG8349
ETG25636 ETG8359
ETG25636 ETG4155
ETG24680 ETG50522
ETG362817 ETG24525
ETG24525 ETG360643
ETG24525 ETG64515
ETG24525 ETG362817
ETG24525 ETG64515
ETG360643 ETG24525
ETG360643 ETG64515
ETG362817 ETG24525
ETG24842 ETG50522
ETG24842 ETG314856
ETG24598 ETG3308
ETG24598 ETG3320
ETG24598 LA16c-313D11.6
ETG363445 ETG29219
ETG4900 rCG_20808
ETG315350 ETG500017
ETG29560 ETG361258
ETG29560 ETG24874
ETG29560 ETG314856
ETG29560 ETG50522
ETG24418 ETG309774
ETG24418 ETG57120
ETG24418 ETG57120
ETG57120 ETG24418
ETG309774 ETG24418
ETG83571 ETG294790
ETG294790 ETG83571
ETG50522 ETG24380
ETG50522 ETG24379
ETG114028 ETG50522
ETG114028 ETG24205
ETG114028 ETG84353
ETG114028 ETG84027
ETG84353 ETG24205
ETG84027 ETG84353
ETG84027 ETG24205
ETG84027 ETG114028
ETG83571 ETG289508
ETG289508 ETG83571
ETG29248 ETG50522
ETG24837 ETG50522
ETG5241 ETG60462
ETG5241 ETG116674
ETG5241 ETG116674
ETG116674 ETG5241
ETG29139 ETG50522
ETG50522 ETG29139
rCG_20808 ETG56813
rCG_20808 ETG81753
rCG_20808 ETG29555
rCG_20808 ETG24875
rCG_20808 ETG58959
rCG_20808 ETG116506
rCG_20808 ETG25051
rCG_20808 ETG60432
rCG_20808 ETG81779
ETG24681 RP11-63L7.1
ETG287005 RP11-63L7.1
ETG57154 ETG307799
ETG24890 ETG50522
ETG50522 ETG24890
ETG24890 ETG287155
ETG24890 ETG297994
ETG287155 ETG24890
ETG287155 ETG297994
ETG25149 ETG50522
ETG24890 ETG25490
ETG24316 ETG24408
ETG24316 ETG24409
ETG24316 ETG24408
ETG24316 ETG24409
ETG24408 ETG24316
ETG24408 ETG24409
ETG25301 rCG_51568
ETG25301 ETG24708
ETG25301 ETG83833
ETG25301 ETG24708
ETG25301 ETG83833
ETG25301 rCG_51568
ETG8065 ETG25562
ETG8065 ETG81807
ETG99375 ETG81807
ETG99375 ETG25562
YMR276W ETG64547
SPAC56F8.08 ETG64547
ETG24778 ETG50522
ETG50522 ETG25388
ETG24415 ETG10048
ETG60590 rCG_43821
ETG60590 ETG362342
ETG60590 ETG300772
ETG60590 ETG83614
ETG60590 ETG25537
ETG60590 ETG25573
ETG60590 ETG361509
ETG24417 ETG56469
ETG24419 ETG56469
ETG81672 ETG56469
ETG60590 ETG56469
ETG24417 ETG10401
ETG24419 ETG10401
ETG81672 ETG10401
ETG60590 ETG10401
ETG24417 ETG8535
ETG24419 ETG8535
ETG81672 ETG8535
ETG60590 ETG8535
ETG24417 LA16c-358B7.1
ETG24419 LA16c-358B7.1
ETG81672 LA16c-358B7.1
ETG60590 LA16c-358B7.1
ETG60590 OK/SW-cl.43
ETG60590 ETG501403
ETG65199 ETG301442
ETG25736 ETG690244
ETG25736 ETG499417
ETG25736 ETG301442
ETG25736 ETG25573
ETG25489 ETG55810
ETG25489 ETG57048
ETG25489 ETG23558
ETG25489 RP11-83J21.1
ETG25489 ETG2257
ETG25489 ETG2287
ETG25489 ETG8416
ETG25489 ETG1983
ETG25489 ETG8550
ETG25489 ETG7528
ETG25489 ETG4133
ETG25489 ETG50818
ETG25489 HCCS4
ETG25489 RP1-237C24.1
ETG25489 ETG146227
ETG25489 ETG10000
ETG25489 ETG366
ETG25489 ETG7867
ETG25489 ETG2321
ETG25489 ETG673
ETG25489 ETG26519
ETG25489 ETG3053
ETG25489 ETG404093
ETG25489 RP11-462F15.1
ETG25489 RP1-138B7.2
ETG25489 ETG4215
ETG25489 ETG7006
ETG25489 ETG1020
ETG25489 ETG207
ETG25489 ETG5156
ETG25489 ETG176
ETG25489 RP11-449I17.8
ETG25489 ETG83707
ETG25489 ETG640
ETG25489 ETG5580
ETG25489 RP1-66H14.1
ETG25489 ETG5604
ETG25489 ETG658
ETG25489 ETG55172
ETG25489 ETG6300
ETG25489 RP11-168K11.4
ETG25489 ETG89953
ETG25489 RP11-263K15.1
ETG25489 RP1-164F3.2
ETG25489 ETG1956
ETG25489 ETG661
ETG25489 ETG1457
ETG25489 ETG8576
ETG25489 ETG156
ETG56082 ETG50522
ETG56082 ETG304522
ETG116470 ETG25558
ETG116470 ETG25012
ETG116470 ETG24803
ETG499417 ETG24192
ETG499417 ETG25745
ETG499417 ETG25596
ETG499417 ETG25573
ETG499417 ETG50662
ETG499417 ETG29345
ETG499417 ETG29565
ETG499417 ETG29578
ETG499417 ETG24533
ETG499417 ETG24672
ETG499417 ETG50522
ETG499417 ETG29437
ETG499417 ETG54241
ETG499417 ETG54318
ETG499417 ETG29361
ETG499417 ETG56611
ETG499417 ETG60373
ETG499417 ETG64158
ETG499417 ETG64196
ETG499417 ETG29284
ETG499417 ETG79119
ETG499417 ETG24468
ETG499417 ETG60421
ETG499417 ETG29497
ETG499417 ETG81513
ETG499417 ETG81521
ETG499417 ETG81664
ETG499417 ETG81709
ETG499417 ETG83529
ETG499417 ETG83531
ETG499417 ETG83613
ETG499417 ETG83523
ETG499417 ETG81818
ETG499417 ETG24642
ETG499417 ETG83422
ETG499417 ETG94197
ETG499417 rCG_34190
ETG499417 ETG170751
ETG499417 ETG171159
ETG499417 ETG171164
ETG499417 ETG171454
ETG499417 ETG245959
ETG499417 ETG266759
ETG499417 ETG24426
ETG499417 ETG64200
ETG499417 ETG29214
ETG499417 ETG171361
ETG499417 ETG299331
